"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2021,"Pittsburgh","ACC",14,25980,367,544,4723,44,8,525,2107,26,6830,7,15,362,204,90,17,25,94,895,19,445,1,30,278,0,16,265,4
2021,"Purdue","Big Ten",13,24922,407,576,4620,35,12,392,1095,7,5715,7,19,311,188,82,8,15,58,557,22,223,0,21,123,0,13,107,1
2021,"Rice","Conference USA",12,23952,205,344,2540,16,15,476,1789,19,4329,7,22,234,176,62,16,29,89,763,31,660,0,11,102,0,14,55,0
2021,"Rutgers","Big Ten",13,23635,231,394,2229,9,10,500,1799,20,4028,4,14,227,193,61,14,39,65,529,39,813,0,24,255,1,7,88,1
2021,"San Diego State","Mountain West",14,26942,209,361,2351,16,5,571,2448,26,4799,9,14,261,193,62,12,19,103,950,39,890,1,31,248,2,17,177,2
2021,"San José State","Mountain West",12,19252,207,402,2636,15,10,352,1446,12,4082,14,24,202,163,57,4,12,87,782,36,577,0,18,138,0,6,99,1
2021,"SMU","American Athletic",12,21041,313,468,3654,39,12,422,1937,20,5591,6,18,297,168,73,16,24,67,627,36,956,2,14,75,0,10,120,0
2021,"South Alabama","Sun Belt",12,23265,273,407,3072,22,11,439,1337,15,4409,9,20,228,176,54,28,46,58,526,25,311,0,12,55,0,15,173,1
2021,"South Carolina","SEC",13,23417,211,360,2615,22,11,467,1773,9,4388,13,24,227,170,60,14,28,76,597,21,479,0,12,80,0,15,296,3
2021,"Southern Miss","Conference USA",12,22229,160,287,1746,14,17,465,1449,8,3195,14,31,191,165,48,7,17,98,750,32,722,1,21,225,0,11,137,3
2021,"South Florida","American Athletic",12,21948,191,354,2309,6,12,487,1898,25,4207,9,21,243,169,58,16,30,60,548,36,803,3,10,120,0,10,249,1
2021,"Stanford","Pac-12",12,19730,239,372,2582,16,12,325,1051,13,3633,7,19,200,145,49,9,15,76,534,32,764,0,13,180,0,6,84,1
2021,"Syracuse","ACC",12,21063,156,287,1836,10,6,491,2562,28,4398,6,12,234,156,51,9,17,84,692,36,752,0,23,241,1,4,32,0
2021,"TCU","Big 12",12,21223,200,310,2838,19,6,473,2330,21,5168,10,16,252,166,76,7,18,85,737,30,804,1,10,92,0,10,83,1
2021,"Temple","American Athletic",12,19811,213,363,2126,10,9,361,1316,12,3442,12,21,177,155,43,11,26,70,538,33,580,0,15,53,0,6,56,1
2021,"Tennessee","SEC",13,19116,243,375,3342,33,3,577,2832,30,6174,10,13,316,178,80,15,31,89,788,33,813,1,26,306,0,13,256,3
2021,"Texas","Big 12",12,20217,217,346,2705,29,10,457,2392,25,5097,7,17,244,160,70,9,20,69,579,28,504,0,17,174,0,7,91,1
2021,"Texas A&M","SEC",12,21740,208,370,2503,19,13,418,2196,17,4699,3,16,251,155,58,6,10,76,656,13,336,1,30,320,1,10,115,1
2021,"Texas State","Sun Belt",12,20382,223,387,2317,15,12,443,1790,17,4107,8,20,241,169,56,16,24,70,705,44,769,0,11,86,1,3,20,0
2021,"Texas Tech","Big 12",13,21820,245,388,3344,18,11,436,2068,30,5412,9,20,254,157,67,14,29,68,580,20,368,0,22,148,0,10,28,2
2021,"Toledo","Mid-American",13,22102,226,390,3108,22,3,472,2553,29,5661,4,7,270,175,62,10,23,130,1172,36,898,1,27,232,3,8,185,1
2021,"Troy","Sun Belt",12,19895,265,419,2864,15,10,366,1197,18,4061,11,21,219,167,67,15,24,60,534,24,275,0,8,63,0,16,198,3
2021,"Tulane","American Athletic",12,20094,213,376,2661,23,13,447,1979,19,4640,12,25,234,169,61,19,38,72,614,34,693,0,18,144,0,10,156,1
2021,"Tulsa","American Athletic",13,24073,243,410,3254,18,16,549,2496,20,5750,8,24,294,189,73,9,19,97,930,33,516,1,23,76,0,11,115,1
2021,"UAB","Conference USA",13,24851,182,286,2682,20,10,513,2342,27,5024,7,17,232,169,69,10,14,115,1126,24,259,0,12,125,1,10,218,2
2021,"UCF","American Athletic",13,22303,252,390,2680,29,9,476,2552,27,5232,6,15,259,174,65,11,14,80,696,28,554,0,24,186,0,11,114,0
2021,"UCLA","Pac-12",12,21431,207,335,2714,23,8,518,2582,31,5296,6,14,281,162,74,20,30,86,774,25,657,1,16,268,2,12,144,0
2021,"UConn","FBS Independents",12,18592,208,407,1966,11,17,377,1215,8,3181,5,22,173,179,42,11,29,80,585,57,1125,2,13,150,0,10,49,1
2021,"UL Monroe","Sun Belt",12,20751,200,354,2328,15,9,500,1613,13,3941,6,15,223,191,65,14,27,45,391,22,303,0,6,20,0,11,177,1
2021,"UNLV","Mountain West",12,21348,193,331,2430,11,14,395,1317,18,3747,8,22,186,164,57,4,16,54,455,27,387,0,7,49,0,9,81,0
2021,"USC","Pac-12",12,22656,318,500,3580,21,13,401,1747,16,5327,7,20,309,179,80,10,15,95,895,28,617,0,16,76,0,14,60,1
2021,"Utah","Pac-12",14,25898,254,401,3000,24,8,545,3035,37,6035,7,15,339,170,82,11,24,67,623,16,413,1,30,454,2,10,149,3
2021,"Utah State","Mountain West",14,24586,303,504,4248,41,15,564,2013,13,6261,8,23,332,222,98,16,30,87,778,42,912,2,14,121,0,12,112,0
2021,"UTEP","Conference USA",13,24875,200,366,3278,19,14,481,1820,18,5098,10,24,234,180,57,19,24,110,972,37,626,0,26,136,0,8,55,0
2021,"UTSA","Conference USA",14,24841,289,446,3577,31,6,556,2569,26,6146,7,13,320,197,85,13,23,71,713,11,198,0,27,294,1,12,200,3
2021,"Vanderbilt","SEC",12,22239,226,408,2272,13,14,423,1482,8,3754,5,19,211,188,60,19,30,66,508,24,324,0,8,45,0,13,74,0
2021,"Virginia","ACC",12,22110,351,554,4706,31,12,339,1483,21,6189,6,18,318,159,73,8,20,77,681,14,206,0,17,94,0,8,126,0
2021,"Virginia Tech","ACC",13,23367,173,316,2293,17,5,531,2412,16,4705,7,12,245,181,74,9,18,70,597,37,875,0,27,331,1,10,97,1
2021,"Wake Forest","ACC",14,24118,302,519,4303,39,15,565,2247,31,6550,5,20,354,231,115,12,20,81,737,28,567,1,25,286,0,15,177,1
2021,"Washington","Pac-12",12,20614,243,409,2700,15,16,370,1181,16,3881,7,23,216,169,75,10,23,51,474,26,491,0,19,106,0,10,171,0
2021,"Washington State","Pac-12",13,23826,281,452,3345,26,13,403,1587,19,4932,5,18,263,170,67,9,24,69,603,27,439,0,14,148,0,15,183,1
2021,"Western Kentucky","Conference USA",14,23244,480,697,6072,63,12,349,1435,13,7507,8,20,385,174,81,11,22,95,758,50,1046,2,16,142,0,21,213,2
2021,"Western Michigan","Mid-American",13,27532,233,368,3297,23,6,590,2783,31,6080,10,16,322,181,84,12,26,89,766,30,536,2,10,27,0,4,22,0
2021,"West Virginia","Big 12",13,24457,290,447,3223,19,12,452,1601,19,4824,8,20,278,186,74,19,28,67,561,29,672,1,19,59,0,9,104,0
2021,"Wisconsin","Big Ten",13,26357,177,300,2082,11,13,567,2742,26,4824,10,23,261,169,57,11,20,70,567,23,377,1,19,92,0,16,235,2
2021,"Wyoming","Mountain West",13,23353,162,297,2115,15,12,543,2752,24,4867,6,18,241,173,75,7,20,66,584,20,460,1,12,46,0,10,138,3
2022,"Air Force","Mountain West",13,28361,41,87,916,8,2,802,4254,37,5170,11,13,266,176,79,21,29,51,386,5,54,0,4,11,0,9,89,0
2022,"Akron","Mid-American",12,19937,296,457,3124,13,10,348,1026,15,4150,12,22,254,155,52,12,24,72,652,42,866,0,17,88,0,8,119,1
2022,"Alabama","SEC",13,23330,280,438,3660,37,8,458,2544,26,6204,8,16,310,162,74,9,15,103,893,21,372,0,30,456,2,7,74,1
2022,"App State","Sun Belt",12,22029,226,358,3005,28,6,474,2459,27,5464,5,11,276,156,61,18,37,66,604,28,699,1,16,78,0,7,32,0
2022,"Arizona","Pac-12",12,20202,283,459,3821,26,13,352,1728,19,5549,8,21,289,147,62,10,23,65,600,20,354,0,13,93,0,4,59,0
2022,"Arizona State","Pac-12",12,22137,270,403,3023,18,10,385,1623,21,4646,8,18,254,151,59,12,19,87,868,34,757,0,19,63,0,11,114,1
2022,"Arkansas","SEC",13,23698,230,356,3041,26,7,606,3085,27,6126,11,18,311,194,89,9,20,83,723,9,161,0,16,162,1,9,83,0
2022,"Arkansas State","Sun Belt",12,21770,247,396,2721,16,5,381,1058,16,3779,4,9,206,167,49,14,23,68,654,51,1106,1,17,96,0,6,115,1
2022,"Army","FBS Independents",12,22773,42,104,924,5,4,645,3467,38,4391,8,12,211,159,70,16,30,58,465,13,211,0,15,167,3,10,74,0
2022,"Auburn","SEC",12,21757,159,308,2072,9,12,488,2470,25,4542,10,22,217,178,64,13,22,90,688,24,396,0,20,170,0,6,60,1
2022,"Ball State","Mid-American",12,20158,287,481,2738,18,14,417,1893,14,4631,7,21,256,185,67,6,19,73,691,22,473,0,13,57,0,7,44,0
2022,"Baylor","Big 12",13,24573,247,392,3009,19,11,535,2371,34,5380,7,18,295,179,72,30,47,62,533,35,596,0,15,189,1,13,87,1
2022,"Boise State","Mountain West",14,25906,229,385,2649,20,9,549,2751,27,5400,8,17,273,191,76,10,17,78,664,24,542,0,28,187,1,15,186,1
2022,"Boston College","ACC",12,21062,262,440,2965,21,14,363,768,6,3733,12,26,201,174,57,8,18,72,582,30,623,0,14,85,0,7,87,0
2022,"Bowling Green","Mid-American",13,22628,267,440,3062,25,11,415,1283,8,4345,12,23,226,188,64,11,25,100,896,40,863,1,16,200,2,10,142,1
2022,"Buffalo","Mid-American",13,24404,250,419,2795,15,8,512,1820,22,4615,9,17,268,197,81,19,31,61,565,28,594,0,10,10,0,11,167,1
2022,"BYU","FBS Independents",13,22744,257,392,3246,32,7,438,2293,19,5539,3,10,285,157,71,8,24,74,692,23,450,0,14,127,0,8,150,3
2022,"California","Pac-12",12,20679,291,466,3217,23,9,318,1158,10,4375,3,12,231,167,59,12,22,63,535,20,342,0,22,240,0,11,127,1
2022,"Central Michigan","Mid-American",12,20720,219,389,2497,16,10,444,1910,22,4407,18,28,239,170,60,18,33,83,753,35,701,0,22,111,0,4,29,0
2022,"Charlotte","Conference USA",12,21272,257,429,3254,27,14,371,1389,13,4643,7,21,254,159,63,12,34,80,702,44,838,0,14,107,0,9,7,0
2022,"Cincinnati","American Athletic",13,22030,249,417,3155,22,8,426,1686,19,4841,6,14,241,181,66,13,20,98,837,23,491,1,14,159,0,11,104,2
2022,"Clemson","ACC",14,26214,297,478,3247,24,10,548,2497,31,5744,12,22,319,211,100,6,12,76,675,21,412,0,29,190,0,13,153,2
2022,"Coastal Carolina","Sun Belt",13,25265,237,361,3200,27,6,513,2067,22,5267,13,19,283,173,74,12,21,81,739,31,590,1,11,79,0,9,101,0
2022,"Colorado","Pac-12",12,19718,179,360,2075,10,10,387,1300,11,3375,12,22,190,164,52,11,30,64,579,35,750,0,11,177,1,6,57,0
2022,"Colorado State","Mountain West",12,21218,203,322,2361,12,11,385,1068,4,3429,8,19,176,151,34,13,33,83,725,19,319,0,20,202,1,8,79,1
2022,"Duke","ACC",13,25813,255,399,3010,20,6,484,2394,31,5404,4,10,282,171,72,14,24,67,652,32,645,0,13,259,1,10,93,1
2022,"East Carolina","American Athletic",13,24332,323,484,3776,28,5,423,2218,25,5994,2,7,293,181,84,13,29,56,489,33,735,1,19,134,0,10,120,1
2022,"Eastern Michigan","Mid-American",13,24543,245,393,2914,23,12,503,1843,25,4757,7,19,277,177,80,11,24,103,960,41,760,1,10,52,0,13,141,0
2022,"Florida","SEC",13,22655,199,366,2910,18,9,472,2603,29,5513,5,14,260,168,68,15,32,89,651,27,586,0,18,130,0,9,93,2
2022,"Florida Atlantic","Conference USA",12,20769,217,378,2715,25,5,492,2210,19,4925,8,13,264,189,81,12,21,74,696,15,241,0,15,136,0,12,356,3
2022,"Florida International","Conference USA",12,19551,271,468,2625,16,16,356,1250,11,3875,4,20,216,173,51,16,35,74,640,36,712,0,10,31,0,7,79,1
2022,"Florida State","ACC",13,24198,249,395,3512,28,7,509,2783,33,6295,7,14,315,168,86,8,23,86,753,17,389,1,23,237,0,8,10,0
2022,"Fresno State","Mountain West",14,26266,333,472,3774,22,9,465,1862,28,5636,5,14,307,177,81,7,14,63,575,30,673,0,13,259,2,12,140,1
2022,"Georgia","SEC",15,30211,336,492,4437,31,7,557,3080,44,7517,10,17,371,182,93,13,15,66,673,22,437,0,22,265,0,12,122,0
2022,"Georgia Southern","Sun Belt",13,21582,373,611,4282,28,16,371,1783,23,6065,5,21,327,195,90,13,23,66,595,26,451,0,19,189,1,11,104,1
2022,"Georgia State","Sun Belt",12,20784,173,297,2431,18,7,578,2586,26,5017,12,19,266,182,74,15,26,84,764,11,103,0,11,58,0,13,114,1
2022,"Georgia Tech","ACC",12,20383,219,381,2306,10,9,426,1596,13,3902,4,13,212,180,55,8,21,69,632,13,273,0,9,84,0,11,55,1
2022,"Hawai'i","Mountain West",13,22048,261,490,2672,13,12,406,1784,16,4456,8,20,244,194,67,18,34,73,652,42,631,0,15,52,0,10,124,1
2022,"Houston","American Athletic",13,23304,337,501,4082,40,10,401,1847,17,5929,9,19,305,176,80,18,27,102,909,42,837,1,12,180,1,7,222,1
2022,"Illinois","Big Ten",13,25505,273,393,2722,15,5,545,2180,18,4902,11,16,275,186,71,12,25,83,768,16,315,0,23,147,0,24,274,1
2022,"Indiana","Big Ten",12,18459,260,482,2609,16,13,396,1330,15,3939,5,18,230,192,65,9,23,60,547,31,721,2,14,45,0,7,10,0
2022,"Iowa","Big Ten",13,22058,192,349,2037,7,7,423,1234,12,3271,10,17,180,176,49,5,15,53,420,19,438,0,31,300,0,15,206,4
2022,"Iowa State","Big 12",12,23128,313,479,3141,19,15,394,1286,10,4427,7,22,245,191,80,15,27,67,548,21,348,0,13,87,0,7,84,0
2022,"James Madison","Sun Belt",11,22204,200,327,2918,27,10,479,2059,24,4977,10,20,249,151,60,9,20,56,439,22,403,0,20,114,0,11,97,2
2022,"Kansas","Big 12",13,22494,242,371,3307,32,8,446,2386,29,5693,11,19,264,158,80,9,19,69,605,24,410,0,4,15,0,12,208,1
2022,"Kansas State","Big 12",14,26643,242,388,2947,21,6,569,2916,32,5863,6,12,281,195,76,17,29,74,601,35,804,0,16,197,2,16,101,1
2022,"Kent State","Mid-American",12,18812,194,349,2582,17,8,517,2433,23,5015,5,13,274,175,72,12,24,80,652,38,847,0,17,113,1,7,71,1
2022,"Kentucky","SEC",13,25845,224,349,2710,21,13,463,1511,9,4221,6,19,229,170,58,16,26,74,514,27,506,1,23,114,0,10,144,1
2022,"Liberty","FBS Independents",13,22329,229,395,2815,21,15,492,2241,24,5056,12,27,265,174,64,11,23,80,696,39,810,1,18,74,0,14,88,0
2022,"Louisiana","Sun Belt",13,23020,252,441,2859,27,9,457,1877,10,4736,8,17,255,186,72,17,33,85,724,25,467,0,27,442,2,15,154,1
2022,"Louisiana Tech","Conference USA",12,21663,254,434,3207,25,19,400,1505,14,4712,6,25,233,177,65,13,29,81,767,36,745,0,21,253,0,11,135,2
2022,"Louisville","ACC",13,23328,218,368,2672,13,12,519,2613,25,5285,11,23,264,177,67,12,30,90,858,17,371,1,28,141,0,15,214,2
2022,"LSU","SEC",14,26058,322,480,3770,23,7,518,2573,39,6343,12,19,345,179,87,11,22,84,730,17,337,0,17,88,0,9,197,2
2022,"Marshall","Sun Belt",13,24818,225,367,2496,16,10,596,2668,20,5164,9,19,270,206,77,6,21,93,859,20,386,0,24,144,1,18,162,3
2022,"Maryland","Big Ten",13,24262,294,446,3383,21,8,469,1837,23,5220,7,15,263,199,83,17,28,101,924,37,690,0,23,156,0,9,61,0
2022,"Massachusetts","FBS Independents",12,22985,136,277,1403,4,14,519,1804,10,3207,5,19,175,194,55,13,27,91,794,34,638,0,11,96,0,9,95,1
2022,"Memphis","American Athletic",13,24061,291,455,3641,23,8,493,1851,30,5492,8,16,293,194,88,13,24,53,480,29,673,0,27,255,1,16,255,3
2022,"Miami","ACC",12,22111,256,413,2879,18,12,414,1537,12,4416,13,25,254,166,67,9,22,84,715,35,930,1,13,125,0,13,136,2
2022,"Miami (OH)","Mid-American",13,23410,184,337,2152,15,5,483,1831,14,3983,6,11,223,185,59,11,22,71,628,18,299,0,24,172,0,11,173,1
2022,"Michigan","Big Ten",14,28389,238,370,3078,24,6,600,3344,41,6422,4,10,326,186,84,18,21,58,448,20,401,0,33,281,1,14,168,1
2022,"Michigan State","Big Ten",12,18864,258,412,2880,23,12,361,1356,16,4236,4,16,241,152,59,12,28,69,654,24,424,0,17,158,0,2,32,1
2022,"Middle Tennessee","Conference USA",13,22388,341,512,3442,21,11,451,1423,20,4865,7,18,262,202,69,21,36,86,765,16,348,0,23,224,2,20,246,4
2022,"Minnesota","Big Ten",13,26890,172,281,2369,12,9,582,2696,33,5065,4,13,280,168,87,6,11,46,413,23,543,0,13,78,0,14,201,1
2022,"Mississippi State","SEC",13,23380,427,634,4035,36,9,296,1071,12,5106,10,19,296,176,69,15,29,82,790,31,807,1,21,213,1,14,294,3
2022,"Missouri","SEC",13,24245,247,391,2771,13,9,493,2034,21,4805,11,20,241,193,77,9,18,101,828,14,229,0,13,147,1,11,99,2
2022,"Navy","American Athletic",12,24935,54,126,1030,9,6,708,2894,22,3924,9,15,211,196,74,23,37,46,376,24,471,0,16,147,0,8,57,0
2022,"NC State","ACC",13,24481,269,471,2939,23,8,442,1479,8,4418,8,16,265,196,71,8,20,95,752,19,438,0,21,160,1,19,172,1
2022,"Nebraska","Big Ten",12,19301,205,340,2650,17,13,420,1480,17,4130,6,19,217,165,66,3,7,65,510,26,444,0,6,77,1,9,40,0
2022,"Nevada","Mountain West",12,20510,217,398,2227,7,8,427,1427,19,3654,9,17,203,195,68,13,26,72,661,33,636,0,15,103,0,11,50,1
2022,"New Mexico","Mountain West",12,20849,138,256,1266,3,9,438,1456,12,2722,5,14,157,159,35,4,14,73,614,26,560,1,18,111,0,9,90,1
2022,"New Mexico State","FBS Independents",13,22507,159,305,2199,18,13,454,2101,24,4300,5,18,216,164,64,11,15,85,746,16,267,0,24,177,0,7,30,1
2022,"North Carolina","ACC",14,25136,344,525,4330,38,7,509,2148,24,6478,7,14,344,201,93,25,35,86,774,23,523,1,16,213,0,9,107,0
2022,"Northern Illinois","Mid-American",12,22176,185,328,2192,18,14,478,2285,19,4477,2,16,225,171,67,10,21,76,750,26,434,0,6,13,0,8,41,1
2022,"North Texas","Conference USA",14,22978,241,430,3667,34,16,536,2770,24,6437,6,22,304,189,81,14,23,73,579,44,878,1,11,49,0,8,149,1
2022,"Northwestern","Big Ten",12,20900,245,417,2524,10,17,469,1501,11,4025,13,30,228,193,72,19,39,55,490,12,199,0,8,19,0,6,16,0
2022,"Notre Dame","FBS Independents",13,25092,211,338,2693,25,11,531,2458,25,5151,7,18,281,176,83,7,16,60,550,18,347,0,29,286,1,10,132,2
2022,"Ohio","Mid-American",14,27015,302,464,3893,28,5,493,2008,23,5901,8,13,290,188,79,6,17,69,618,58,1115,1,15,31,0,12,163,0
2022,"Ohio State","Big Ten",13,23986,274,410,3878,42,6,466,2501,30,6379,4,10,310,166,75,12,17,73,624,18,330,0,19,141,0,11,109,2
2022,"Oklahoma","Big 12",13,20534,251,407,3310,27,8,580,2859,28,6169,7,15,309,195,80,11,27,74,652,25,481,0,13,169,0,17,131,0
2022,"Oklahoma State","Big 12",13,21663,292,524,3634,24,18,476,1633,20,5267,5,23,289,204,72,5,16,46,436,33,779,1,16,147,1,13,104,0
2022,"Old Dominion","Sun Belt",12,17374,237,417,2977,19,7,310,1097,8,4074,11,18,189,158,47,8,23,83,765,25,494,0,15,120,0,12,96,1
2022,"Ole Miss","SEC",13,20590,239,386,3118,22,11,614,3335,33,6453,9,20,327,187,88,17,35,88,821,26,447,0,17,111,0,8,34,0
2022,"Oregon","Pac-12",13,24462,308,432,3703,30,9,508,2804,34,6507,3,12,340,162,75,20,32,88,744,28,523,0,13,64,0,16,207,1
2022,"Oregon State","Pac-12",13,24925,201,323,2594,16,13,523,2554,36,5148,5,18,289,153,67,16,23,78,711,30,667,0,20,319,2,12,105,2
2022,"Penn State","Big Ten",13,23838,270,422,3283,29,7,489,2354,28,5637,7,14,275,180,68,21,30,69,628,20,447,1,24,105,0,14,243,1
2022,"Pittsburgh","ACC",13,25923,223,393,2889,13,11,522,2380,30,5269,9,20,279,179,70,10,20,96,828,29,438,0,34,290,1,14,215,4
2022,"Purdue","Big Ten",14,26767,368,581,3895,26,17,467,1695,17,5590,6,23,322,208,80,18,33,74,748,28,484,0,23,164,0,15,289,3
2022,"Rice","Conference USA",13,25597,233,403,3027,23,20,460,1838,17,4865,12,32,261,173,72,12,27,79,698,26,440,0,18,161,0,8,154,1
2022,"Rutgers","Big Ten",12,21019,168,332,1852,11,14,432,1523,11,3375,6,20,178,172,49,9,17,94,770,27,541,0,16,108,1,9,65,2
2022,"San Diego State","Mountain West",13,24136,185,342,2348,15,14,470,1862,11,4210,10,24,205,177,52,15,20,96,772,37,753,1,28,176,3,13,34,0
2022,"San José State","Mountain West",12,20595,260,430,3261,23,7,343,1154,19,4415,2,9,245,150,56,8,17,69,582,23,379,0,6,39,0,13,87,0
2022,"SMU","American Athletic",13,21608,333,513,4117,36,11,492,2030,26,6147,9,20,331,203,97,22,37,55,542,25,362,0,15,145,0,10,113,0
2022,"South Alabama","Sun Belt",13,25511,291,447,3496,28,12,504,2019,19,5515,4,16,289,194,83,17,29,100,915,27,589,0,24,228,1,13,114,2
2022,"South Carolina","SEC",13,22366,281,419,3379,23,14,410,1555,27,4934,13,27,246,159,62,13,21,88,814,23,578,1,19,278,2,15,299,2
2022,"Southern Miss","Sun Belt",13,22334,191,346,2698,20,14,476,1842,15,4540,12,26,233,177,60,12,19,87,774,23,474,0,26,308,0,16,212,3
2022,"South Florida","American Athletic",12,21226,188,326,2315,18,9,442,2361,25,4676,11,20,232,151,59,14,31,55,443,48,994,1,12,100,0,6,49,0
2022,"Stanford","Pac-12",12,21522,275,448,3051,15,8,376,1288,14,4339,13,21,249,164,62,11,21,55,495,46,888,0,17,64,0,6,3,0
2022,"Syracuse","ACC",13,22022,228,370,3011,19,9,443,1860,21,4871,4,13,263,151,56,5,12,112,823,20,502,0,25,195,0,10,86,2
2022,"TCU","Big 12",15,27379,292,454,3926,33,8,566,2899,37,6825,8,16,315,201,80,14,27,72,744,46,907,0,25,301,2,16,282,4
2022,"Temple","American Athletic",12,19460,288,484,3217,18,12,318,989,11,4206,11,23,220,173,57,14,33,55,444,42,673,0,15,77,0,6,136,2
2022,"Tennessee","SEC",13,19684,290,422,4239,38,3,523,2593,40,6832,8,11,330,166,68,23,34,105,904,18,340,0,20,331,1,11,70,0
2022,"Texas","Big 12",13,21302,248,405,3138,22,7,470,2444,29,5582,7,14,296,165,64,12,22,79,615,21,472,0,21,186,1,10,167,2
2022,"Texas A&M","SEC",12,20049,220,391,2633,18,6,367,1707,12,4340,12,18,233,153,55,4,11,76,589,23,510,1,22,121,0,4,13,0
2022,"Texas State","Sun Belt",12,21939,274,442,2649,19,10,383,1236,9,3885,7,17,212,185,68,7,21,58,531,25,434,0,17,140,0,11,188,2
2022,"Texas Tech","Big 12",13,23388,349,570,3927,26,18,525,2073,28,6000,7,25,345,211,77,34,53,74,576,30,681,1,17,112,0,9,47,0
2022,"Toledo","Mid-American",14,24795,247,439,3149,31,15,580,2489,23,5638,11,26,308,208,85,16,27,94,775,22,342,0,31,252,0,12,87,2
2022,"Troy","Sun Belt",14,25554,251,401,3396,20,15,497,1626,21,5022,6,21,273,176,56,18,27,76,699,19,343,0,14,132,0,13,249,1
2022,"Tulane","American Athletic",14,24933,241,379,3313,30,5,556,2868,34,6181,11,16,302,172,66,16,27,56,480,33,723,0,23,227,1,12,53,0
2022,"Tulsa","American Athletic",12,20790,241,415,3278,27,10,429,1664,18,4942,8,18,257,169,67,11,17,73,680,19,303,0,17,85,0,6,28,0
2022,"UAB","Conference USA",13,24904,194,321,2641,15,7,528,3056,32,5697,11,18,276,165,74,13,27,91,787,26,556,0,15,126,2,10,200,1
2022,"UCF","American Athletic",14,25924,291,451,3377,22,9,615,3192,35,6569,12,21,339,209,97,19,30,68,649,33,616,0,29,240,2,6,34,0
2022,"UCLA","Pac-12",13,21338,291,419,3447,29,12,514,3099,36,6546,8,20,336,163,83,15,26,84,682,39,759,0,11,56,0,11,182,1
2022,"UConn","FBS Independents",13,23632,157,276,1456,10,10,525,2482,20,3938,11,21,210,179,66,7,18,92,790,31,597,0,16,81,0,13,165,0
2022,"UL Monroe","Sun Belt",12,21220,221,331,2464,16,7,418,1447,16,3911,8,15,213,167,67,5,14,59,537,29,511,0,8,29,1,6,53,0
2022,"UNLV","Mountain West",12,20749,227,361,2580,15,7,403,1647,18,4227,8,15,211,156,52,10,19,69,687,22,429,0,11,75,0,15,232,2
2022,"USC","Pac-12",14,26804,344,514,4694,43,5,473,2396,30,7090,2,7,360,168,91,15,22,88,812,36,655,0,17,93,0,19,339,3
2022,"Utah","Pac-12",14,28286,288,446,3489,31,10,560,3048,38,6537,8,18,363,180,91,18,29,63,563,8,160,0,31,234,0,12,293,3
2022,"Utah State","Mountain West",13,22460,230,398,2537,18,21,549,2071,14,4608,6,27,257,201,66,18,34,111,1007,31,601,1,22,197,1,11,90,1
2022,"UTEP","Conference USA",12,24322,203,380,2625,15,12,463,2006,14,4631,9,21,252,169,66,16,28,78,669,21,342,0,17,100,1,5,4,0
2022,"UTSA","Conference USA",14,24977,341,503,4206,34,9,543,2458,28,6664,10,19,362,187,91,13,27,99,876,21,423,1,14,72,0,15,208,1
2022,"Vanderbilt","SEC",12,22752,200,346,2248,22,6,445,1919,13,4167,10,16,210,171,63,11,29,63,553,24,511,0,9,42,0,6,41,0
2022,"Virginia","ACC",10,16502,185,342,2210,7,12,329,1230,13,3440,10,22,190,138,44,7,18,70,622,20,440,0,12,47,0,5,40,0
2022,"Virginia Tech","ACC",11,19239,203,346,2232,9,9,388,1230,15,3462,6,15,193,159,50,6,14,80,637,30,505,0,25,227,2,4,38,1
2022,"Wake Forest","ACC",13,22196,302,474,4055,43,13,502,1711,17,5766,6,19,328,185,86,15,30,62,530,17,339,0,18,134,0,7,88,2
2022,"Washington","Pac-12",13,24444,373,575,4807,32,9,402,1893,33,6700,2,11,354,183,104,16,29,88,781,25,487,0,11,121,0,7,2,0
2022,"Washington State","Pac-12",13,21586,322,499,3286,24,9,365,1395,17,4681,8,17,253,175,64,13,29,70,592,28,603,0,24,218,0,12,245,2
2022,"Western Kentucky","Conference USA",14,24326,402,622,4932,43,12,414,2032,15,6964,10,22,344,187,78,14,35,87,805,24,481,0,16,135,1,19,314,4
2022,"Western Michigan","Mid-American",12,21911,167,335,1988,10,13,465,1635,14,3623,8,21,199,185,58,13,27,80,755,34,664,1,10,47,0,11,180,2
2022,"West Virginia","Big 12",12,22559,255,426,2720,20,12,446,2058,24,4778,6,18,276,178,73,22,32,77,636,25,444,0,12,73,0,4,76,2
2022,"Wisconsin","Big Ten",13,24295,188,326,2390,21,11,501,2337,21,4727,7,18,233,169,68,7,15,81,751,28,635,0,24,132,0,17,241,2
2022,"Wyoming","Mountain West",13,22703,156,304,1719,11,12,479,2358,16,4077,3,15,208,175,61,2,7,56,488,15,309,0,7,29,1,6,54,1
2023,"Air Force","Mountain West",13,26088,55,105,1105,7,6,711,3648,36,4753,11,17,255,168,78,17,25,39,322,4,76,0,8,23,0,10,162,2
