"season","season_type","week","poll","rank","teamId","school","conference","first_place_votes","points"
1990,"regular",8,"AP Top 25",12,252,"BYU","Western Athletic",NA,NA
1990,"regular",8,"AP Top 25",13,264,"Washington","Pac-10",NA,NA
1990,"regular",8,"AP Top 25",14,38,"Colorado","Big 8",NA,NA
1990,"regular",8,"AP Top 25",15,30,"USC","Pac-10",NA,NA
1990,"regular",8,"AP Top 25",16,201,"Oklahoma","Big 8",NA,NA
1990,"regular",8,"AP Top 25",17,57,"Florida","SEC",NA,NA
1990,"regular",8,"AP Top 25",18,145,"Ole Miss","SEC",NA,NA
1990,"regular",8,"AP Top 25",19,251,"Texas","Southwest",NA,NA
1990,"regular",8,"AP Top 25",20,84,"Indiana","Big Ten",NA,NA
1990,"regular",8,"AP Top 25",21,2751,"Wyoming","Western Athletic",NA,NA
1990,"regular",8,"AP Top 25",22,228,"Clemson","ACC",NA,NA
1990,"regular",8,"AP Top 25",22,2294,"Iowa","Big Ten",NA,NA
1990,"regular",8,"AP Top 25",24,127,"Michigan State","Big Ten",NA,NA
1990,"regular",8,"AP Top 25",25,245,"Texas A&M","Southwest",NA,NA
1990,"regular",9,"AP Top 25",1,258,"Virginia","ACC",NA,NA
1990,"regular",9,"AP Top 25",2,2,"Auburn","SEC",NA,NA
1990,"regular",9,"AP Top 25",3,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",9,"AP Top 25",4,158,"Nebraska","Big 8",NA,NA
1990,"regular",9,"AP Top 25",5,356,"Illinois","Big Ten",NA,NA
1990,"regular",9,"AP Top 25",6,248,"Houston","Southwest",NA,NA
1990,"regular",9,"AP Top 25",7,264,"Washington","Pac-10",NA,NA
1990,"regular",9,"AP Top 25",8,2390,"Miami","FBS Independents",NA,NA
1990,"regular",9,"AP Top 25",9,252,"BYU","Western Athletic",NA,NA
1990,"regular",9,"AP Top 25",10,38,"Colorado","Big 8",NA,NA
1990,"regular",9,"AP Top 25",11,2633,"Tennessee","SEC",NA,NA
1990,"regular",9,"AP Top 25",12,52,"Florida State","FBS Independents",NA,NA
1990,"regular",9,"AP Top 25",13,251,"Texas","Southwest",NA,NA
1990,"regular",9,"AP Top 25",14,57,"Florida","SEC",NA,NA
1990,"regular",9,"AP Top 25",15,2294,"Iowa","Big Ten",NA,NA
1990,"regular",9,"AP Top 25",16,59,"Georgia Tech","ACC",NA,NA
1990,"regular",9,"AP Top 25",17,145,"Ole Miss","SEC",NA,NA
1990,"regular",9,"AP Top 25",18,2751,"Wyoming","Western Athletic",NA,NA
1990,"regular",9,"AP Top 25",19,228,"Clemson","ACC",NA,NA
1990,"regular",9,"AP Top 25",20,130,"Michigan","Big Ten",NA,NA
1990,"regular",9,"AP Top 25",21,30,"USC","Pac-10",NA,NA
1990,"regular",9,"AP Top 25",22,201,"Oklahoma","Big 8",NA,NA
1990,"regular",9,"AP Top 25",23,12,"Arizona","Pac-10",NA,NA
1990,"regular",9,"AP Top 25",24,2628,"TCU","Southwest",NA,NA
1990,"regular",9,"AP Top 25",25,2483,"Oregon","Pac-10",NA,NA
1990,"regular",10,"AP Top 25",1,258,"Virginia","ACC",NA,NA
1990,"regular",10,"AP Top 25",2,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",10,"AP Top 25",3,158,"Nebraska","Big 8",NA,NA
1990,"regular",10,"AP Top 25",4,2,"Auburn","SEC",NA,NA
1990,"regular",10,"AP Top 25",5,356,"Illinois","Big Ten",NA,NA
1990,"regular",10,"AP Top 25",6,248,"Houston","Southwest",NA,NA
1990,"regular",10,"AP Top 25",7,264,"Washington","Pac-10",NA,NA
1990,"regular",10,"AP Top 25",8,2390,"Miami","FBS Independents",NA,NA
1990,"regular",10,"AP Top 25",9,38,"Colorado","Big 8",NA,NA
1990,"regular",10,"AP Top 25",10,252,"BYU","Western Athletic",NA,NA
1990,"regular",10,"AP Top 25",11,2633,"Tennessee","SEC",NA,NA
1990,"regular",10,"AP Top 25",12,52,"Florida State","FBS Independents",NA,NA
1990,"regular",10,"AP Top 25",13,2294,"Iowa","Big Ten",NA,NA
1990,"regular",10,"AP Top 25",14,251,"Texas","Southwest",NA,NA
1990,"regular",10,"AP Top 25",15,57,"Florida","SEC",NA,NA
1990,"regular",10,"AP Top 25",16,59,"Georgia Tech","ACC",NA,NA
1990,"regular",10,"AP Top 25",17,145,"Ole Miss","SEC",NA,NA
1990,"regular",10,"AP Top 25",18,228,"Clemson","ACC",NA,NA
1990,"regular",10,"AP Top 25",19,2751,"Wyoming","Western Athletic",NA,NA
1990,"regular",10,"AP Top 25",20,130,"Michigan","Big Ten",NA,NA
1990,"regular",10,"AP Top 25",21,30,"USC","Pac-10",NA,NA
1990,"regular",10,"AP Top 25",22,2483,"Oregon","Pac-10",NA,NA
1990,"regular",10,"AP Top 25",23,12,"Arizona","Pac-10",NA,NA
1990,"regular",10,"AP Top 25",24,213,"Penn State","FBS Independents",NA,NA
1990,"regular",10,"AP Top 25",25,97,"Louisville","FBS Independents",NA,NA
1990,"regular",11,"AP Top 25",1,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",11,"AP Top 25",2,264,"Washington","Pac-10",NA,NA
1990,"regular",11,"AP Top 25",3,248,"Houston","Southwest",NA,NA
1990,"regular",11,"AP Top 25",4,38,"Colorado","Big 8",NA,NA
1990,"regular",11,"AP Top 25",5,2390,"Miami","FBS Independents",NA,NA
1990,"regular",11,"AP Top 25",6,2294,"Iowa","Big Ten",NA,NA
1990,"regular",11,"AP Top 25",7,59,"Georgia Tech","ACC",NA,NA
1990,"regular",11,"AP Top 25",8,252,"BYU","Western Athletic",NA,NA
1990,"regular",11,"AP Top 25",9,2633,"Tennessee","SEC",NA,NA
1990,"regular",11,"AP Top 25",10,57,"Florida","SEC",NA,NA
1990,"regular",11,"AP Top 25",11,258,"Virginia","ACC",NA,NA
1990,"regular",11,"AP Top 25",12,52,"Florida State","FBS Independents",NA,NA
1990,"regular",11,"AP Top 25",13,158,"Nebraska","Big 8",NA,NA
1990,"regular",11,"AP Top 25",14,251,"Texas","Southwest",NA,NA
1990,"regular",11,"AP Top 25",15,2,"Auburn","SEC",NA,NA
1990,"regular",11,"AP Top 25",16,145,"Ole Miss","SEC",NA,NA
1990,"regular",11,"AP Top 25",17,356,"Illinois","Big Ten",NA,NA
1990,"regular",11,"AP Top 25",18,228,"Clemson","ACC",NA,NA
1990,"regular",11,"AP Top 25",19,130,"Michigan","Big Ten",NA,NA
1990,"regular",11,"AP Top 25",20,2483,"Oregon","Pac-10",NA,NA
1990,"regular",11,"AP Top 25",21,213,"Penn State","FBS Independents",NA,NA
1990,"regular",11,"AP Top 25",22,97,"Louisville","FBS Independents",NA,NA
1990,"regular",11,"AP Top 25",23,30,"USC","Pac-10",NA,NA
1990,"regular",11,"AP Top 25",24,127,"Michigan State","Big Ten",NA,NA
1990,"regular",11,"AP Top 25",25,2751,"Wyoming","Western Athletic",NA,NA
